"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_041_NorthOfParadise_dem_low",16,2.25003891235825,2.24422464860901,2.24422464860901,1.50788626454844,1.13782062936456,0.658556461334229,"North of Paradise"
"rr201611_042_GnarlyTree_dem_low",1,2.3098391816325,2.32674219466437,2.32674219466437,1.58086876361011,1.15172015249832,0.520791053771973,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",2,2.26922737857786,2.26359430849442,2.26359430849442,1.64378953822103,1.16943223895045,0.68780779838562,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",3,2.30639477549454,2.29877593504627,2.29877593504627,1.53500379512944,1.14901967562374,0.56830883026123,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",4,2.41783744184937,2.39991340554556,2.39991340554556,1.65999782366984,1.20736140918877,0.478537559509277,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",5,2.32045558118899,2.3181232359937,2.3181232359937,1.57340888280645,1.14408014056511,0.521968603134155,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",6,2.33613518897612,2.33151699361126,2.33151699361126,1.65228146240873,1.19007108492835,0.578428030014038,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",7,2.43738869228148,2.43094213343926,2.43094213343926,1.58428475757835,1.19875993956812,0.41991925239563,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",8,2.4231515685762,2.40123691515198,2.40123691515198,1.61613198720727,1.22059345413137,0.492781162261963,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",9,2.36472934581422,2.3391462907408,2.3391462907408,1.72609160097193,1.2279967536385,0.62230110168457,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",10,2.37070924461741,2.33736893322625,2.33736893322625,1.66033105426135,1.23819494759255,0.641459703445435,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",11,2.37869101833989,2.37301140269665,2.37301140269665,1.5699855360703,1.20287038977509,0.519051790237427,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",12,2.33750707079612,2.32030281722726,2.32030281722726,1.67364031231186,1.21621045496624,0.645186185836792,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",13,2.369023390775,2.34192530983458,2.34192530983458,1.64836700991105,1.23071354061787,0.620375394821167,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",14,2.3351214696011,2.32366158895714,2.32366158895714,1.51735812498194,1.16278817818752,0.546643495559692,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",15,2.35466952589009,2.34083202423917,2.34083202423917,1.53749431040769,1.19202725961505,0.563178539276123,"Gnarly Tree"
"rr201611_042_GnarlyTree_dem_low",16,2.38973645682783,2.3764198027895,2.3764198027895,1.58190979256349,1.21057299501159,0.523516654968262,"Gnarly Tree"
"rr201611_045_WashingMachine_dem_low",1,2.32561900633301,2.32402910576977,2.32402910576977,1.64216681495165,1.16366095542192,0.547519683837891,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",2,2.35760591551043,2.33979265299817,2.33979265299817,1.64616751152588,1.22929795972482,0.622859716415405,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",3,2.35024189232718,2.3579698078803,2.3579698078803,1.73021720739476,1.23891247879634,0.598252773284912,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",4,2.31245675787393,2.31278303304563,2.31278303304563,1.7136633854972,1.24196473658159,0.704612016677856,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",5,2.36562346064827,2.36134562495438,2.36134562495438,1.66624599412054,1.21540330223195,0.558493614196777,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",6,2.36101620299093,2.3515109405629,2.3515109405629,1.65873314927901,1.20784269984346,0.566656351089478,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",7,2.44583776124917,2.43592204158958,2.43592204158958,1.52367703622771,1.18301772346432,0.394631862640381,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",8,2.39210556484841,2.37754822350024,2.37754822350024,1.51161429402813,1.17571837682025,0.472594022750854,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",9,2.35199361110935,2.34669787062691,2.34669787062691,1.66760380196922,1.22007835667476,0.59454607963562,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",10,2.42339528971806,2.42433901760323,2.42433901760323,1.57576778118824,1.19654398211931,0.427022695541382,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",11,2.4231021224944,2.41066793516674,2.41066793516674,1.66032107328638,1.22388265180957,0.480833053588867,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",12,2.4968422553682,2.49427100839282,2.49427100839282,1.54087272867731,1.1790047447038,0.318532943725586,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",13,2.20424633824659,2.17178253255252,2.17178253255252,1.89666863932864,1.29976381368769,1.29484486579895,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",14,2.3758192683649,2.375138894748,2.375138894748,1.47950457647543,1.15525453677188,0.445837020874023,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",15,2.23206915668356,2.24963451497521,2.24963451497521,1.64432376959566,1.22317784564966,0.838726282119751,"Washing Machine"
"rr201611_045_WashingMachine_dem_low",16,2.3960576749033,2.40600688563005,2.40600688563005,1.68418666544106,1.22514825059411,0.490182161331177,"Washing Machine"
"rr201611_046_NorthReef02_dem_low",1,2.11084654986444,2.08995771819256,2.08995771819256,1.34857239281524,1.08890108405568,0.892395973205566,"North Reef 2"
